Unnamed: 0,title,year,kind,genre,rating,vote,country,language,cast,director,composer,writer,runtime
160,Broken Paths 342,2001,tv series,Comedy,4.4,9326,Australia,English,"Chris Evans, Amitabh Bachchan, John Smith",James Cameron,John Williams,Aaron Sorkin,147
161,The Last Journey 2,2012,tv series,Comedy,4.2,77724,USA,German,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,John Williams,Quentin Tarantino,162
162,Broken Paths 470,2008,tv series,Thriller,5.8,26121,Australia,Hindi,"John Smith, Scarlett Johansson, Emma Watson",Christopher Nolan,John Williams,Aaron Sorkin,144
163,Golden Dreams 295,1991,tv series,Drama,6.8,88870,Australia,German,"John Smith, Emma Watson, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,91
164,Broken Paths 158,2015,movie,Drama,3.9,19414,UK,Hindi,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,John Williams,Raju Murugan,138
165,Golden Dreams 269,1983,tv series,Comedy,6.3,81273,India,German,"Scarlett Johansson, John Smith, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Aaron Sorkin,122
166,Broken Paths 379,1984,tv series,Drama,9.7,57553,Australia,French,"Chris Evans, Emma Watson, Amitabh Bachchan",Steven Spielberg,Hans Zimmer,Aaron Sorkin,166
167,Shadow Rise 496,2017,tv series,Thriller,1.3,16238,Australia,Hindi,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,John Williams,Raju Murugan,101
168,Shadow Rise 146,1991,movie,Drama,7.1,39506,USA,French,"Emma Watson, Amitabh Bachchan, John Smith",Rajkumar Hirani,A R Rahman,Quentin Tarantino,71
169,Shadow Rise 4,2001,movie,Romance,4.5,17170,UK,Spanish,"Scarlett Johansson, Emma Watson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Quentin Tarantino,69
170,Shadow Rise 36,2003,tv series,Thriller,4.1,53974,Canada,Spanish,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,70
171,Shadow Rise 390,1990,movie,Drama,5.0,81986,UK,Spanish,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Raju Murugan,150
172,Shadow Rise 477,2011,tv series,Thriller,5.8,45739,USA,English,"John Smith, Amitabh Bachchan, Emma Watson",James Cameron,A R Rahman,Raju Murugan,154
173,Golden Dreams 300,1997,movie,Drama,3.2,93328,Canada,Spanish,"Emma Watson, John Smith, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,99
174,The Last Journey 446,2003,tv series,Romance,2.5,30037,India,Spanish,"Emma Watson, Chris Evans, John Smith",Rajkumar Hirani,A R Rahman,Raju Murugan,179
175,Broken Paths 291,1995,movie,Drama,9.3,62403,India,French,"Chris Evans, Scarlett Johansson, Emma Watson",James Cameron,A R Rahman,Raju Murugan,159
176,Golden Dreams 184,2011,tv series,Drama,3.8,67916,India,French,"John Smith, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,172
177,Golden Dreams 23,1995,movie,Thriller,5.9,3082,USA,Hindi,"Emma Watson, Amitabh Bachchan, Chris Evans",Rajkumar Hirani,John Williams,Quentin Tarantino,119
178,Golden Dreams 129,2014,movie,Romance,5.4,76484,USA,English,"Amitabh Bachchan, Scarlett Johansson, Chris Evans",James Cameron,John Williams,Quentin Tarantino,112
179,Silent Night 372,2016,tv series,Thriller,5.3,66674,USA,German,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Steven Spielberg,Hans Zimmer,Quentin Tarantino,110
180,Shadow Rise 399,1985,tv series,Thriller,8.6,48957,Canada,German,"Amitabh Bachchan, John Smith, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,173
181,Broken Paths 500,2018,movie,Romance,6.7,25248,India,Spanish,"Scarlett Johansson, Emma Watson, Chris Evans",James Cameron,A R Rahman,Raju Murugan,174
182,Broken Paths 342,1987,movie,Action,6.2,91042,UK,English,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,81
183,Silent Night 168,1980,tv series,Action,7.4,99267,Canada,Spanish,"Emma Watson, Chris Evans, Scarlett Johansson",James Cameron,A R Rahman,Aaron Sorkin,180
184,Silent Night 97,1994,movie,Action,6.3,18799,USA,French,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,Hans Zimmer,Raju Murugan,127
185,Broken Paths 274,1982,movie,Comedy,7.9,99123,Australia,German,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,Hans Zimmer,Aaron Sorkin,158
186,The Last Journey 114,2021,tv series,Action,6.7,63475,Canada,English,"Amitabh Bachchan, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,71
187,Golden Dreams 65,2013,movie,Drama,4.1,3740,USA,English,"John Smith, Scarlett Johansson, Amitabh Bachchan",Rajkumar Hirani,Hans Zimmer,Aaron Sorkin,61
188,Shadow Rise 276,2024,tv series,Action,4.1,50545,USA,Hindi,"Scarlett Johansson, Amitabh Bachchan, Chris Evans",Steven Spielberg,A R Rahman,Raju Murugan,74
189,Shadow Rise 105,2002,movie,Thriller,8.0,43513,UK,English,"Chris Evans, John Smith, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Aaron Sorkin,61
190,Silent Night 283,2011,movie,Thriller,9.5,65221,Australia,German,"Amitabh Bachchan, Chris Evans, Emma Watson",Christopher Nolan,Hans Zimmer,Raju Murugan,123
191,Shadow Rise 426,2014,movie,Romance,4.4,37173,Australia,Hindi,"John Smith, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Aaron Sorkin,121
192,Silent Night 326,1986,tv series,Thriller,8.5,32997,Canada,French,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Aaron Sorkin,119
193,Silent Night 195,2013,tv series,Drama,4.4,65694,USA,French,"Emma Watson, Chris Evans, Amitabh Bachchan",James Cameron,John Williams,Aaron Sorkin,164
194,Silent Night 452,1995,tv series,Thriller,8.7,9705,UK,Hindi,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Steven Spielberg,A R Rahman,Quentin Tarantino,154
195,The Last Journey 296,1999,movie,Drama,1.0,51903,India,French,"Chris Evans, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,66
196,Golden Dreams 339,2010,movie,Thriller,4.9,86886,India,English,"John Smith, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,145
197,The Last Journey 355,1988,tv series,Romance,6.8,13932,UK,Spanish,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Quentin Tarantino,135
198,Golden Dreams 356,2013,movie,Romance,9.5,85406,USA,German,"Chris Evans, Scarlett Johansson, Emma Watson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,147
199,Silent Night 3,2001,tv series,Action,6.9,26722,USA,Spanish,"Chris Evans, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,111
200,Golden Dreams 145,2022,tv series,Thriller,7.7,2997,USA,English,"John Smith, Emma Watson, Chris Evans",James Cameron,A R Rahman,Quentin Tarantino,158
201,Shadow Rise 388,2001,movie,Action,5.9,32800,Canada,English,"Scarlett Johansson, John Smith, Emma Watson",Rajkumar Hirani,John Williams,Aaron Sorkin,116
202,Broken Paths 85,2015,movie,Drama,4.9,51454,Canada,French,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,133
203,Golden Dreams 2,1986,tv series,Drama,2.3,73118,Australia,Spanish,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,105
204,The Last Journey 304,2022,tv series,Drama,8.2,80842,Australia,Spanish,"Scarlett Johansson, Amitabh Bachchan, John Smith",James Cameron,A R Rahman,Quentin Tarantino,138
205,Shadow Rise 305,1995,tv series,Thriller,4.0,30768,Australia,Hindi,"Chris Evans, John Smith, Amitabh Bachchan",Christopher Nolan,Hans Zimmer,Raju Murugan,180
206,Golden Dreams 339,2012,tv series,Thriller,1.5,16710,Canada,Hindi,"Emma Watson, John Smith, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Aaron Sorkin,98
207,Broken Paths 391,2019,tv series,Comedy,8.0,42493,India,French,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Rajkumar Hirani,John Williams,Raju Murugan,74
208,Golden Dreams 294,2006,movie,Drama,4.8,45694,Australia,German,"Scarlett Johansson, John Smith, Chris Evans",Steven Spielberg,A R Rahman,Quentin Tarantino,172
209,Broken Paths 107,1996,tv series,Romance,9.5,96814,UK,English,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,162
210,Golden Dreams 120,2021,movie,Drama,4.9,2194,USA,English,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",Christopher Nolan,John Williams,Raju Murugan,130
211,Silent Night 426,2014,movie,Romance,6.9,55681,Australia,Spanish,"Chris Evans, John Smith, Emma Watson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,103
212,Golden Dreams 299,2023,movie,Romance,2.0,80607,Australia,German,"Emma Watson, Chris Evans, Amitabh Bachchan",Christopher Nolan,A R Rahman,Raju Murugan,106
213,Golden Dreams 260,2003,tv series,Drama,3.5,28388,USA,German,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Aaron Sorkin,134
214,Broken Paths 95,2019,tv series,Drama,8.2,99766,Canada,Hindi,"Emma Watson, Scarlett Johansson, Amitabh Bachchan",James Cameron,Hans Zimmer,Raju Murugan,165
215,Broken Paths 71,2018,tv series,Action,2.9,42811,Canada,French,"Emma Watson, Amitabh Bachchan, John Smith",James Cameron,Hans Zimmer,Quentin Tarantino,139
216,Broken Paths 346,1996,movie,Drama,8.0,36524,Australia,English,"Emma Watson, Amitabh Bachchan, John Smith",Christopher Nolan,John Williams,Quentin Tarantino,118
217,Shadow Rise 277,2023,movie,Comedy,1.1,15321,Australia,English,"Amitabh Bachchan, Emma Watson, John Smith",Christopher Nolan,Hans Zimmer,Raju Murugan,79
218,Golden Dreams 221,2000,movie,Action,2.7,88126,USA,German,"Emma Watson, Scarlett Johansson, John Smith",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,178
219,Golden Dreams 278,2018,movie,Comedy,3.9,85280,Australia,German,"John Smith, Emma Watson, Chris Evans",Rajkumar Hirani,Hans Zimmer,Raju Murugan,168
220,Golden Dreams 337,2015,tv series,Drama,9.3,50584,Australia,Spanish,"Amitabh Bachchan, Scarlett Johansson, Emma Watson",Rajkumar Hirani,John Williams,Quentin Tarantino,124
221,Shadow Rise 67,2012,tv series,Thriller,3.3,67894,USA,Hindi,"John Smith, Chris Evans, Amitabh Bachchan",James Cameron,Hans Zimmer,Raju Murugan,173
222,Silent Night 446,2005,movie,Comedy,6.1,37709,Canada,English,"Emma Watson, John Smith, Chris Evans",Steven Spielberg,A R Rahman,Quentin Tarantino,110
223,Golden Dreams 103,1994,tv series,Romance,2.2,11717,USA,German,"John Smith, Amitabh Bachchan, Chris Evans",Christopher Nolan,John Williams,Raju Murugan,137
224,Broken Paths 220,1983,tv series,Romance,7.6,673,India,German,"Amitabh Bachchan, John Smith, Scarlett Johansson",James Cameron,John Williams,Aaron Sorkin,125
225,Golden Dreams 453,2005,tv series,Comedy,4.7,40697,India,Spanish,"Scarlett Johansson, Emma Watson, John Smith",Steven Spielberg,A R Rahman,Quentin Tarantino,128
226,Silent Night 11,2001,movie,Action,4.3,46157,USA,English,"Emma Watson, John Smith, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,64
227,Silent Night 132,2005,movie,Drama,2.8,83691,Australia,English,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,143
228,Broken Paths 47,2022,movie,Action,8.4,286,India,Hindi,"Scarlett Johansson, Emma Watson, John Smith",James Cameron,A R Rahman,Quentin Tarantino,133
229,Silent Night 397,1989,tv series,Romance,8.5,73678,India,Hindi,"Amitabh Bachchan, Chris Evans, John Smith",Christopher Nolan,Hans Zimmer,Aaron Sorkin,165
230,Silent Night 388,1991,tv series,Drama,8.1,59189,UK,English,"John Smith, Emma Watson, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Raju Murugan,80
231,Silent Night 459,2012,movie,Romance,3.9,18470,USA,French,"Scarlett Johansson, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Raju Murugan,60
232,Shadow Rise 495,2005,movie,Drama,4.0,81966,UK,English,"Emma Watson, John Smith, Scarlett Johansson",James Cameron,A R Rahman,Aaron Sorkin,159
233,Golden Dreams 465,2011,tv series,Romance,9.3,21008,USA,French,"Amitabh Bachchan, Chris Evans, Emma Watson",Steven Spielberg,Hans Zimmer,Raju Murugan,153
234,Broken Paths 465,1992,movie,Thriller,3.6,60691,UK,English,"Chris Evans, Emma Watson, Scarlett Johansson",James Cameron,A R Rahman,Aaron Sorkin,72
235,Broken Paths 494,1983,movie,Thriller,7.0,82840,Canada,Spanish,"Emma Watson, Scarlett Johansson, Chris Evans",James Cameron,Hans Zimmer,Raju Murugan,115
236,Broken Paths 84,2008,movie,Romance,2.9,23636,Australia,French,"John Smith, Scarlett Johansson, Emma Watson",Rajkumar Hirani,Hans Zimmer,Quentin Tarantino,112
237,Golden Dreams 144,1986,tv series,Drama,8.0,44138,India,French,"Amitabh Bachchan, Chris Evans, Emma Watson",Steven Spielberg,A R Rahman,Aaron Sorkin,127
238,Shadow Rise 14,2012,movie,Drama,1.6,61013,India,English,"Amitabh Bachchan, John Smith, Chris Evans",Christopher Nolan,John Williams,Quentin Tarantino,163
239,Silent Night 86,1998,tv series,Thriller,3.9,77679,UK,French,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Rajkumar Hirani,John Williams,Raju Murugan,115
240,Silent Night 345,2012,tv series,Comedy,8.2,45876,Australia,Hindi,"John Smith, Emma Watson, Amitabh Bachchan",Steven Spielberg,John Williams,Raju Murugan,72
241,Silent Night 260,2008,tv series,Comedy,6.0,1129,UK,French,"Scarlett Johansson, Emma Watson, Chris Evans",Christopher Nolan,Hans Zimmer,Quentin Tarantino,110
242,Broken Paths 215,1991,tv series,Action,1.6,31352,Australia,English,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Raju Murugan,170
243,Broken Paths 6,2023,tv series,Romance,6.4,53791,India,English,"Emma Watson, Chris Evans, Scarlett Johansson",Steven Spielberg,Hans Zimmer,Raju Murugan,119
244,Golden Dreams 334,1989,movie,Thriller,2.5,36501,Australia,English,"John Smith, Chris Evans, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,133
245,The Last Journey 271,1996,movie,Romance,9.6,46860,India,French,"Chris Evans, John Smith, Emma Watson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,108
246,Silent Night 375,1998,movie,Action,3.0,95699,USA,German,"Emma Watson, Chris Evans, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Quentin Tarantino,162
247,Golden Dreams 25,2022,movie,Thriller,1.1,16830,Australia,Hindi,"Scarlett Johansson, Chris Evans, Emma Watson",James Cameron,A R Rahman,Raju Murugan,125
248,Shadow Rise 61,1991,movie,Romance,2.8,32174,USA,Hindi,"Chris Evans, John Smith, Emma Watson",Steven Spielberg,A R Rahman,Raju Murugan,129
249,The Last Journey 250,2023,tv series,Drama,8.8,93644,India,French,"Emma Watson, Chris Evans, Scarlett Johansson",James Cameron,John Williams,Quentin Tarantino,132
250,Silent Night 467,1990,movie,Action,6.9,16363,Canada,Spanish,"John Smith, Chris Evans, Emma Watson",Steven Spielberg,John Williams,Raju Murugan,107
251,Shadow Rise 243,1982,movie,Action,6.4,19559,USA,Hindi,"Emma Watson, John Smith, Scarlett Johansson",Steven Spielberg,John Williams,Raju Murugan,173
252,Silent Night 339,1984,tv series,Drama,1.1,25199,Canada,French,"Amitabh Bachchan, John Smith, Scarlett Johansson",James Cameron,Hans Zimmer,Quentin Tarantino,116
253,Shadow Rise 206,2019,tv series,Romance,5.3,27337,UK,English,"Amitabh Bachchan, Chris Evans, Scarlett Johansson",Christopher Nolan,A R Rahman,Aaron Sorkin,146
254,Broken Paths 365,2018,movie,Thriller,9.5,49444,Australia,German,"Scarlett Johansson, John Smith, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,172
255,Shadow Rise 485,2018,movie,Action,7.4,46210,Australia,Hindi,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",Christopher Nolan,A R Rahman,Quentin Tarantino,84
256,Broken Paths 215,1997,movie,Action,8.7,28921,India,Spanish,"Amitabh Bachchan, John Smith, Chris Evans",Christopher Nolan,A R Rahman,Quentin Tarantino,119
257,Golden Dreams 173,1981,movie,Action,10.0,23324,Canada,German,"Emma Watson, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,132
258,Broken Paths 369,2023,tv series,Drama,1.1,82841,India,Spanish,"Emma Watson, John Smith, Chris Evans",Rajkumar Hirani,A R Rahman,Raju Murugan,78
259,Silent Night 283,2023,tv series,Thriller,10.0,17119,UK,French,"Amitabh Bachchan, John Smith, Emma Watson",Rajkumar Hirani,A R Rahman,Aaron Sorkin,68
260,Silent Night 289,2001,movie,Action,6.4,25955,UK,Hindi,"John Smith, Emma Watson, Chris Evans",James Cameron,A R Rahman,Raju Murugan,101
261,Golden Dreams 188,1991,tv series,Thriller,9.9,25087,India,German,"Amitabh Bachchan, Emma Watson, Scarlett Johansson",James Cameron,John Williams,Aaron Sorkin,167
262,The Last Journey 495,2021,tv series,Romance,5.0,3630,Canada,German,"Chris Evans, Emma Watson, John Smith",Christopher Nolan,John Williams,Quentin Tarantino,169
263,Shadow Rise 349,1991,movie,Drama,7.6,30296,USA,English,"John Smith, Chris Evans, Scarlett Johansson",Rajkumar Hirani,Hans Zimmer,Raju Murugan,137
264,Golden Dreams 442,1998,tv series,Comedy,3.6,63983,India,Spanish,"Scarlett Johansson, Amitabh Bachchan, John Smith",James Cameron,A R Rahman,Aaron Sorkin,113
265,Silent Night 154,2005,tv series,Romance,4.6,10094,UK,German,"Scarlett Johansson, John Smith, Chris Evans",James Cameron,John Williams,Raju Murugan,106
266,Shadow Rise 362,2006,movie,Comedy,8.4,56064,UK,Hindi,"Emma Watson, Chris Evans, Amitabh Bachchan",Steven Spielberg,A R Rahman,Aaron Sorkin,162
267,Shadow Rise 221,1993,movie,Romance,6.7,86991,Canada,Spanish,"Chris Evans, Emma Watson, Amitabh Bachchan",Rajkumar Hirani,John Williams,Aaron Sorkin,154
268,Shadow Rise 133,2014,movie,Action,9.4,87577,Canada,French,"Emma Watson, Amitabh Bachchan, John Smith",Steven Spielberg,Hans Zimmer,Quentin Tarantino,76
269,Broken Paths 329,2010,movie,Romance,3.0,28279,UK,Spanish,"Chris Evans, John Smith, Amitabh Bachchan",Rajkumar Hirani,A R Rahman,Raju Murugan,133
270,Shadow Rise 278,2020,movie,Comedy,2.4,87429,India,German,"Chris Evans, Emma Watson, Scarlett Johansson",James Cameron,A R Rahman,Quentin Tarantino,153
271,The Last Journey 56,2013,movie,Comedy,2.4,27694,USA,German,"Scarlett Johansson, Chris Evans, John Smith",Steven Spielberg,John Williams,Raju Murugan,175
272,Golden Dreams 356,2007,tv series,Action,1.7,67661,UK,French,"Scarlett Johansson, Emma Watson, John Smith",James Cameron,A R Rahman,Quentin Tarantino,97
273,Shadow Rise 165,1990,movie,Comedy,3.7,93811,USA,Hindi,"John Smith, Chris Evans, Scarlett Johansson",Steven Spielberg,John Williams,Quentin Tarantino,159
274,Shadow Rise 297,1981,tv series,Thriller,4.8,31444,Canada,Spanish,"John Smith, Amitabh Bachchan, Scarlett Johansson",Steven Spielberg,A R Rahman,Raju Murugan,172
275,Broken Paths 369,1980,tv series,Comedy,5.2,29251,India,German,"Emma Watson, Chris Evans, Scarlett Johansson",James Cameron,Hans Zimmer,Aaron Sorkin,172
276,The Last Journey 432,2013,tv series,Romance,1.1,29985,India,German,"Scarlett Johansson, Emma Watson, Chris Evans",James Cameron,John Williams,Quentin Tarantino,87
277,Golden Dreams 65,1999,movie,Action,2.3,11506,USA,Hindi,"Emma Watson, Amitabh Bachchan, John Smith",Rajkumar Hirani,John Williams,Aaron Sorkin,85
278,The Last Journey 216,2001,movie,Action,3.8,24644,India,Spanish,"Scarlett Johansson, Amitabh Bachchan, Emma Watson",Steven Spielberg,A R Rahman,Raju Murugan,144
279,Broken Paths 230,1985,movie,Drama,8.5,880,UK,English,"John Smith, Chris Evans, Scarlett Johansson",Christopher Nolan,Hans Zimmer,Quentin Tarantino,73
280,The Last Journey 171,2008,movie,Comedy,2.2,11261,UK,German,"John Smith, Scarlett Johansson, Amitabh Bachchan",Steven Spielberg,A R Rahman,Quentin Tarantino,142
281,Silent Night 405,1981,tv series,Comedy,7.7,67924,India,English,"Emma Watson, John Smith, Chris Evans",Steven Spielberg,A R Rahman,Quentin Tarantino,73
282,Shadow Rise 11,1993,tv series,Comedy,1.7,12761,India,German,"John Smith, Emma Watson, Scarlett Johansson",Rajkumar Hirani,A R Rahman,Raju Murugan,125
283,Broken Paths 176,1988,movie,Romance,7.4,84238,Australia,German,"Chris Evans, Amitabh Bachchan, Scarlett Johansson",Christopher Nolan,John Williams,Aaron Sorkin,66
284,Golden Dreams 60,2002,tv series,Action,3.9,93240,Canada,German,"Scarlett Johansson, Chris Evans, Emma Watson",Steven Spielberg,John Williams,Quentin Tarantino,75
